BDPID,SIDID,ISDEL,CRTBY,CRTDT,CRTTM,CHNBY,CHNDT,CHNTM
1,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
1,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
2,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
2,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
3,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
3,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
4,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
4,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
5,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
5,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
6,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
6,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
7,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
7,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
8,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
8,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
9,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
9,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
10,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
10,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
11,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
11,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
12,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
12,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
13,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
13,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
14,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
14,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
15,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
15,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
17,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
17,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
18,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
18,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
19,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
19,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
20,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
20,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
21,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
21,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
22,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
22,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
23,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
23,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
24,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
24,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
25,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
25,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
26,90,0,DB_SLS1128,08.09.2023,07:54:16,,,
27,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
27,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
27,91,0,DB_SLS1128,08.09.2023,07:54:16,,,
28,90,0,DB_SLS1128,08.09.2023,07:54:16,,,
29,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
29,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
30,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
30,89,0,DB_SLS1128,08.09.2023,07:54:16,,,
31,88,0,DB_SLS1128,08.09.2023,07:54:16,,,
31,89,0,DB_SLS1128,08.09.2023,07:54:16,,,